table,col,term,coef,se,N,r2,se_type,formula,note
XI,5,kinship_score,0.25499383212978877,0.35091188595745965,613,0.006734187616735499,{'CRV1': 'cluster'},s_size_community ~ kinship_score,
XI,6,kinship_score,-0.212364809759316,0.15718010229612536,607,0.36940425385457076,{'CRV1': 'cluster'},s_size_community ~ kinship_score + small_scale + ln_time_obs_ea | cont,
XI,6,small_scale,-2.0572368711198683,0.2329810637266467,607,0.36940425385457076,{'CRV1': 'cluster'},s_size_community ~ kinship_score + small_scale + ln_time_obs_ea | cont,
VI,1,kinship_score,1.4610510154970007,0.3311001872357986,72,0.23194975874115475,hetero,s_diff_trust_out_in ~ kinship_score,
VI,2,kinship_score,1.4414704278508432,0.3556557959017182,70,0.5609130260515736,hetero,s_diff_trust_out_in ~ kinship_score + ln_time_obs_ea + small_scale | cont,
VI,3,kinship_score,1.0312615671202032,0.3512522329901718,72,0.11555821705528802,hetero,s_diff_trust_family ~ kinship_score,
VI,4,kinship_score,1.2358179676845007,0.4603401742226846,70,0.33909481019613175,hetero,s_diff_trust_family ~ kinship_score + ln_time_obs_ea + small_scale | cont,
VI,5,kinship_score,0.4001715234772163,0.06122401534590688,21813,0.07973355589526576,{'CRV1': 'group'},s_diff_trust_out_in ~ kinship_score | wctry + wave,
VI,6,kinship_score,0.3535915241739424,0.07398544751282377,21758,0.08597841139071172,{'CRV1': 'group'},s_diff_trust_out_in ~ kinship_score + female + ln_time_obs_ea_e + small_scale | wctry + wave + age,
VI,7,kinship_score,0.17091375335759615,0.03744456611348499,21813,0.06951594268331285,{'CRV1': 'group'},s_diff_trust_family ~ kinship_score | wctry + wave,
VI,8,kinship_score,0.20950680709612157,0.05986141421815444,21758,0.07609562205238063,{'CRV1': 'group'},s_diff_trust_family ~ kinship_score + female + ln_time_obs_ea_e + small_scale | wctry + wave + age,
VII,1,kinship_score,1.15967810079413,0.3454057309690731,79,0.12415828315931987,hetero,s_religion_hell ~ kinship_score,
VII,2,kinship_score,0.8745025201148204,0.23565758233477468,79,0.5660245452015125,hetero,s_religion_hell ~ kinship_score + s_religion_god,
VII,2,s_religion_god,0.6703538500258183,0.10644486199035687,79,0.5660245452015125,hetero,s_religion_hell ~ kinship_score + s_religion_god,
VII,3,kinship_score,0.8804716577188741,0.24503819183562564,78,0.5755633812260301,hetero,s_religion_hell ~ kinship_score + ln_time_obs_ea + small_scale + s_religion_god,
VII,3,s_religion_god,0.6872508506662324,0.11446886865100386,78,0.5755633812260301,hetero,s_religion_hell ~ kinship_score + ln_time_obs_ea + small_scale + s_religion_god,
VII,4,kinship_score,0.47337989269805575,0.2359359210030387,78,0.7592187812196954,hetero,s_religion_hell ~ kinship_score + ln_time_obs_ea + small_scale + s_religion_god | cont,
