var,coef,se,N,year,min95,max95,panel
h_1828,0.011029599913693833,0.013399490151788953,182706,1828,-0.015358653056913564,0.03741785288430123,C. Difference Hunan - non-Hunan
h_1829,0.04328189103368343,0.024311835694506095,182706,1829,-0.004596562789488133,0.09116034485685498,C. Difference Hunan - non-Hunan
h_1830,0.03720567030929104,0.020749476745265328,182706,1830,-0.003657260679817906,0.07806860129839999,C. Difference Hunan - non-Hunan
h_1831,0.029548116936275414,0.042344850622115376,182706,1831,-0.05384361047730671,0.11293984434985754,C. Difference Hunan - non-Hunan
h_1832,0.03879112651344733,0.051958053691938746,182706,1832,-0.06353233871931224,0.1411145917462069,C. Difference Hunan - non-Hunan
h_1833,0.04393427332371917,0.04560169076526333,182706,1833,-0.04587130421465621,0.13373985086209456,C. Difference Hunan - non-Hunan
h_1834,0.015867833870524917,0.03491864039727667,182706,1834,-0.05289910470362574,0.08463477244467557,C. Difference Hunan - non-Hunan
h_1835,0.03168119127573026,0.0371328903999279,182706,1835,-0.041446375094570366,0.1048087576460309,C. Difference Hunan - non-Hunan
h_1836,0.025484823760002516,0.03574778935857129,182706,1836,-0.044914997281548415,0.09588464480155345,C. Difference Hunan - non-Hunan
h_1837,0.028569213183794444,0.04220948652234135,182706,1837,-0.054555935272863815,0.11169436164045271,C. Difference Hunan - non-Hunan
h_1838,0.0358797218262669,0.039768359648511185,182706,1838,-0.04243799942605269,0.11419744307858648,C. Difference Hunan - non-Hunan
h_1839,0.015470982424332263,0.041861612462958206,182706,1839,-0.06696908110917399,0.0979110459578385,C. Difference Hunan - non-Hunan
h_1840,0.021750070797716275,0.04828473380443034,182706,1840,-0.07333935095014298,0.11683949254557553,C. Difference Hunan - non-Hunan
h_1841,0.06033007616323,0.04531781985048379,182706,1841,-0.028916460887384705,0.14957661321384472,C. Difference Hunan - non-Hunan
h_1842,0.045760817959823195,0.04058852725398214,182706,1842,-0.0341720983488975,0.12569373426854388,C. Difference Hunan - non-Hunan
h_1843,0.025735831343424498,0.03430291539540176,182706,1843,-0.041818530712832785,0.09329019339968178,C. Difference Hunan - non-Hunan
h_1844,0.027133615601207934,0.04043736616792801,182706,1844,-0.05250161199451531,0.10676884319693117,C. Difference Hunan - non-Hunan
h_1845,0.037144165552470285,0.05129995948753815,182706,1845,-0.06388328347762093,0.1381716145825615,C. Difference Hunan - non-Hunan
h_1846,0.03747696062629569,0.050959205997896224,182706,1846,-0.06287942635714833,0.13783334760973973,C. Difference Hunan - non-Hunan
h_1847,0.05665200105577917,0.03999554296834503,182706,1847,-0.02211312310863387,0.13541712522019222,C. Difference Hunan - non-Hunan
h_1848,0.04531821879009249,0.038665943727789254,182706,1848,-0.03082846238045566,0.12146489996064064,C. Difference Hunan - non-Hunan
h_1849,0.040117664186090994,0.02684408682703301,182706,1849,-0.012747672176137918,0.0929830005483199,C. Difference Hunan - non-Hunan
h_1850,0.046438023893283546,0.027555992943981065,182706,1850,-0.007829303029223508,0.1007053508157906,C. Difference Hunan - non-Hunan
h_1851,0.01644410045830768,0.01592082415917498,182706,1851,-0.014909535437814606,0.047797736354429965,C. Difference Hunan - non-Hunan
h_1852,0.019410139294822118,0.024663023970022523,182706,1852,-0.029159926294891288,0.06798020488453552,C. Difference Hunan - non-Hunan
h_1853,0.0076686125602247355,0.02458677956571181,182706,1853,-0.04075130129940395,0.056088526419853416,C. Difference Hunan - non-Hunan
h_1854,0.05012484965346405,0.035221510727735585,182706,1854,-0.019238545860981025,0.11948824516790912,C. Difference Hunan - non-Hunan
h_1855,0.034292268311163616,0.012663078817891037,182706,1855,0.009354265189557093,0.05923027143277014,C. Difference Hunan - non-Hunan
h_1856,0.039118068978103965,0.02856016896486188,182706,1856,-0.017126829521071113,0.09536296747727904,C. Difference Hunan - non-Hunan
h_1857,0.05793807276756879,0.026830596895418685,182706,1857,0.005099302768982267,0.11077684276615532,C. Difference Hunan - non-Hunan
h_1858,0.022029678727511565,0.016538464198878024,182706,1858,-0.01054030506154036,0.054599662516563494,C. Difference Hunan - non-Hunan
h_1859,0.0477295404609363,0.02397050789717082,182706,1859,0.0005232796958551597,0.09493580122601744,C. Difference Hunan - non-Hunan
h_1860,0.026017638348427206,0.018392047637123064,182706,1860,-0.01020269542532231,0.06223797212217672,C. Difference Hunan - non-Hunan
h_1861,0.1309480762507267,0.01772042673307017,182706,1861,0.09605039745233307,0.16584575504912036,C. Difference Hunan - non-Hunan
h_1862,0.13267051888105677,0.024751250718165134,182706,1862,0.08392670416190723,0.1814143336002063,C. Difference Hunan - non-Hunan
h_1863,0.17471966297700806,0.02243366001724131,182706,1863,0.1305399898039561,0.21889933615006002,C. Difference Hunan - non-Hunan
h_1864,0.16725933969838166,0.03199539636327221,182706,1864,0.10424928457205605,0.23026939482470726,C. Difference Hunan - non-Hunan
h_1865,0.15439993377598943,0.02971107578023958,182706,1865,0.09588849977092959,0.21291136778104927,C. Difference Hunan - non-Hunan
h_1866,0.22269500976470916,0.0426976907268155,182706,1866,0.1386084175588454,0.3067816019705729,C. Difference Hunan - non-Hunan
h_1867,0.13523319379870521,0.025586957472962985,182706,1867,0.08484358203765055,0.18562280555975988,C. Difference Hunan - non-Hunan
h_1868,0.13956059742996865,0.01638778233125823,182706,1868,0.1072873586062693,0.171833836253668,C. Difference Hunan - non-Hunan
h_1869,0.12429762778035838,0.02001229245804073,182706,1869,0.08488646885398292,0.16370878670673383,C. Difference Hunan - non-Hunan
h_1870,0.09088909270927019,0.021797630326119838,182706,1870,0.04796198304393422,0.13381620237460617,C. Difference Hunan - non-Hunan
h_1871,0.055382009367773315,0.015750904538011867,182706,1871,0.02436300425962346,0.08640101447592317,C. Difference Hunan - non-Hunan
h_1872,0.07395415701137584,0.013689663138938202,182706,1872,0.04699445258228821,0.10091386144046346,C. Difference Hunan - non-Hunan
h_1873,0.07090304587904246,0.018957850710948396,182706,1873,0.033568449213606966,0.10823764254447796,C. Difference Hunan - non-Hunan
h_1874,0.07563396844340572,0.014122391623241151,182706,1874,0.047822071238173613,0.10344586564863784,C. Difference Hunan - non-Hunan
h_1875,0.0847422040208995,0.018751609833053316,182706,1875,0.04781376732103919,0.12167064072075982,C. Difference Hunan - non-Hunan
