py,gap,gap_se,provid,year,n_princeling,g_xi,g_insp,treat_xi
162012,-0.9156334579250704,0.048856351760245074,16,2012,109,2014,2014,0.0
162013,-0.8301674628598441,0.08060301340752976,16,2013,61,2014,2014,0.0
162014,-0.1637773460102946,0.14171259332215222,16,2014,12,2014,2014,1.0
162015,-0.0723941170352026,0.17915667305112284,16,2015,14,2014,2014,1.0
162016,-0.09701548062254672,0.1438570550453553,16,2016,11,2014,2014,1.0
172006,-0.5718066230362399,0.3217297177735485,17,2006,5,0,2013,0.0
172007,-0.8478590146118853,0.04625515880269068,17,2007,123,0,2013,0.0
172008,-0.7813531918150711,0.04637096612339385,17,2008,84,0,2013,0.0
172009,-0.7528911476488047,0.03996476575113851,17,2009,147,0,2013,0.0
172010,-0.8896724561226095,0.03664405510972608,17,2010,195,0,2013,0.0
172011,-0.71191943404237,0.03399143930118258,17,2011,160,0,2013,0.0
172012,-0.8188059041351994,0.03135485645740234,17,2012,115,0,2013,0.0
172013,-0.6095856588228447,0.07532214283261376,17,2013,44,0,2013,0.0
172014,-0.5765864573518303,0.08761425747294192,17,2014,35,0,2013,0.0
172015,-0.30592571193579465,0.1744779293015137,17,2015,13,0,2013,0.0
172016,-0.17679923147505017,0.18084615312684663,17,2016,9,0,2013,0.0
182006,-1.3687776445470514,0.1473547486193912,18,2006,5,2014,2013,0.0
182007,-1.0898320740393044,0.09039792325879352,18,2007,66,2014,2013,0.0
182008,-0.9899700247627018,0.049939679959524794,18,2008,132,2014,2013,0.0
182009,-1.0161624254575234,0.05574567250442147,18,2009,119,2014,2013,0.0
182010,-0.9522588207672509,0.03037612086562614,18,2010,313,2014,2013,0.0
182011,-0.9987839726654753,0.04163446606970083,18,2011,287,2014,2013,0.0
182012,-0.8883436796738419,0.0468909546288752,18,2012,128,2014,2013,0.0
182013,-0.7952112019501731,0.09606094644323647,18,2013,65,2014,2013,0.0
182014,-0.7525365507366154,0.06468990709388397,18,2014,67,2014,2013,1.0
182015,-0.6796176299447952,0.06573163450451641,18,2015,62,2014,2013,1.0
182016,-0.6612979271470253,0.0671069067488077,18,2016,32,2014,2013,1.0
192006,-0.43329930896665936,0.23741156608942185,19,2006,6,2013,2013,0.0
192007,-0.9041018982392978,0.09996788014136955,19,2007,49,2013,2013,0.0
192008,-0.8591185040523286,0.08675023281117045,19,2008,50,2013,2013,0.0
192009,-1.0851087183608998,0.0836748216277481,19,2009,59,2013,2013,0.0
192010,-0.7298647599023335,0.07039627376318972,19,2010,97,2013,2013,0.0
192011,-1.2293713819458671,0.04413417268489926,19,2011,174,2013,2013,0.0
192012,-1.0214272968661096,0.055636531262312355,19,2012,133,2013,2013,0.0
192013,-0.3537810215408702,0.07919739570703192,19,2013,72,2013,2013,1.0
192014,-0.43334917680808566,0.15191391032381507,19,2014,37,2013,2013,1.0
192015,-0.10891494770505838,0.11099610132788916,19,2015,24,2013,2013,1.0
192016,0.0262404623021687,0.07668138509560794,19,2016,6,2013,2013,1.0
202007,-1.0660722209077291,0.164043540646752,20,2007,20,2013,2014,0.0
202008,-0.7049591537416068,0.08250539729672962,20,2008,19,2013,2014,0.0
202009,-0.8076701719692012,0.07768652565476233,20,2009,44,2013,2014,0.0
202010,-1.034555764488551,0.10142105039552712,20,2010,87,2013,2014,0.0
202011,-1.0459882899806023,0.07829064928221083,20,2011,60,2013,2014,0.0
202012,-0.814661475208504,0.07571081799960927,20,2012,24,2013,2014,0.0
202013,-0.6323417334252103,0.236129994580953,20,2013,13,2013,2014,1.0
202014,-0.378753174670071,0.17182029768272208,20,2014,21,2013,2014,1.0
202015,0.13160938006060363,0.2891740075906703,20,2015,13,2013,2014,1.0
212007,-0.6336077483731355,0.09179733677177,21,2007,6,0,2014,0.0
212008,0.28589768945487803,0.2850816892974922,21,2008,4,0,2014,0.0
212009,-0.7324295516122787,0.10922349973122489,21,2009,5,0,2014,0.0
212010,-0.3561684602667545,0.2649818042405651,21,2010,10,0,2014,0.0
212011,-0.05814549891668774,0.17516348849076868,21,2011,11,0,2014,0.0
212012,-0.7082359583607544,0.09057616452202169,21,2012,7,0,2014,0.0
212013,-0.6026047476023919,0.3009715294066708,21,2013,6,0,2014,0.0
222007,-0.36178550833252604,0.16616485954617888,22,2007,14,2013,2013,0.0
222008,-0.8321910573141607,0.1274805181348435,22,2008,23,2013,2013,0.0
222009,-0.7985602491865827,0.16444670728740846,22,2009,21,2013,2013,0.0
222010,-0.6924286901934047,0.16438008272714766,22,2010,30,2013,2013,0.0
222011,-0.5427586429777547,0.2016264048824714,22,2011,22,2013,2013,0.0
222012,-0.9128802443970463,0.2008514241882484,22,2012,15,2013,2013,0.0
222013,-0.8070648526989878,0.2697764621017902,22,2013,10,2013,2013,1.0
222014,-0.038867168987053446,0.6090499129317799,22,2014,3,2013,2013,1.0
222015,-0.12150007628734216,0.25057634381332883,22,2015,3,2013,2013,1.0
222016,-0.13382841433919268,0.4000428490473019,22,2016,7,2013,2013,1.0
232006,-0.033255248566605444,0.01174458184251124,23,2006,4,2013,2014,0.0
232007,-0.5955000584971697,0.08714311761697698,23,2007,52,2013,2014,0.0
232008,-1.3574591453795737,0.060990207870939096,23,2008,100,2013,2014,0.0
232009,-1.1447550693363397,0.07248424973949501,23,2009,112,2013,2014,0.0
232010,-1.0897934357532404,0.06031621300735202,23,2010,156,2013,2014,0.0
232011,-0.3645043005509704,0.06996420517433147,23,2011,91,2013,2014,0.0
232012,-0.9747531449494882,0.06938513449037548,23,2012,120,2013,2014,0.0
232013,-0.4530028683394225,0.08369917412654988,23,2013,51,2013,2014,1.0
232014,-0.4329753572323083,0.1458854980049577,23,2014,23,2013,2014,1.0
232015,-0.682529815169595,0.08270590143672762,23,2015,58,2013,2014,1.0
232016,0.22012850316746324,0.3689451880189627,23,2016,5,2013,2014,1.0
242007,-0.9678938104064216,0.19471734228648743,24,2007,19,2013,2013,0.0
242008,-0.9820567305030198,0.09541419057116737,24,2008,38,2013,2013,0.0
242009,-0.6395744263297733,0.1571331344796172,24,2009,26,2013,2013,0.0
242010,-1.0028614036365158,0.12575949054862454,24,2010,20,2013,2013,0.0
242011,-0.980946519072441,0.08980744425808955,24,2011,27,2013,2013,0.0
242012,-0.7786951621799555,0.17187230993901187,24,2012,24,2013,2013,0.0
242013,-0.126980877513594,0.17951540933564447,24,2013,22,2013,2013,1.0
242014,-0.34210081799054776,0.16493385939020855,24,2014,14,2013,2013,1.0
242016,0.20392660864087564,0.16127647513941412,24,2016,5,2013,2013,1.0
252005,-0.8080881583339692,1.1837645307766308e-23,25,2005,5,2015,2013,0.0
252006,-0.8335750270891139,0.2714719983506527,25,2006,8,2015,2013,0.0
252007,-1.0219736326793214,0.12462125496817468,25,2007,32,2015,2013,0.0
252008,-0.7637218866105311,0.08440610834259517,25,2008,54,2015,2013,0.0
252009,-0.6623394392174575,0.06870717404042563,25,2009,43,2015,2013,0.0
252010,-0.8793464923962265,0.06217886752929127,25,2010,59,2015,2013,0.0
252011,-0.48358865259693323,0.08835480499670145,25,2011,49,2015,2013,0.0
252012,-0.5833268122598607,0.1043619609307556,25,2012,24,2015,2013,0.0
252013,-0.5054809794048509,0.10507686609882565,25,2013,34,2015,2013,0.0
252014,-0.38740319046948074,0.17027682173438558,25,2014,12,2015,2013,0.0
252015,-0.3241717554351763,0.16874253935576444,25,2015,6,2015,2013,1.0
252016,0.49609725157455264,0.10263225902939838,25,2016,9,2015,2013,1.0
272007,-0.6023904352883996,0.09123840901415713,27,2007,13,2013,2014,0.0
272008,-0.5064824565890287,0.07654897421646435,27,2008,7,2013,2014,0.0
272009,-0.859989423731336,0.13407883556632189,27,2009,13,2013,2014,0.0
272010,-1.1621202960548906,0.149869256462262,27,2010,14,2013,2014,0.0
272011,-1.105373972202608,0.12441121456023281,27,2011,25,2013,2014,0.0
272012,-0.6092753570352307,0.15058396163531215,27,2012,21,2013,2014,0.0
272013,-0.3421569209136304,0.11351761538700147,27,2013,21,2013,2014,1.0
272014,-0.6066797961998055,0.2498430550471604,27,2014,15,2013,2014,1.0
272015,-0.3229449514776703,0.15727755828594572,27,2015,9,2013,2014,1.0
282007,-1.0214733266319498,0.049619475678886214,28,2007,78,0,2014,0.0
282008,-0.9859575255006452,0.07580155154982093,28,2008,40,0,2014,0.0
282009,-0.6205092980582307,0.08933071029534348,28,2009,16,0,2014,0.0
282010,-0.8495528194549136,0.0668189517791948,28,2010,65,0,2014,0.0
282011,-0.8273828774795288,0.041307127338028354,28,2011,112,0,2014,0.0
282012,-0.7266539638460258,0.0355027880425431,28,2012,90,0,2014,0.0
282013,-0.8722198755119678,0.04711982477857735,28,2013,75,0,2014,0.0
282014,-0.7314454506517054,0.36691748115129497,28,2014,8,0,2014,0.0
282015,-0.4707273009475159,0.20695008630450706,28,2015,9,0,2014,0.0
292007,-1.5703461144155422,0.18695259067706063,29,2007,9,2014,2014,0.0
292008,-0.2783270185984378,0.17167584505484695,29,2008,8,2014,2014,0.0
292009,-1.0249889834538637,0.32212671015901495,29,2009,10,2014,2014,0.0
292010,-0.7731332361513753,0.12679824498759099,29,2010,20,2014,2014,0.0
292011,0.09778176363791824,0.10645266597899718,29,2011,24,2014,2014,0.0
292012,-0.5323255126886031,0.09655968247386602,29,2012,6,2014,2014,0.0
292013,-0.29740633897980095,0.11009392592482363,29,2013,7,2014,2014,0.0
292014,-0.06243981954676614,0.19766821566258436,29,2014,7,2014,2014,1.0
302007,-0.02244758713149153,0.0,30,2007,3,2014,2014,0.0
