table,panel,outcome,unrest,column,event_time,term,coef,se
VII,B,GOVERNMENT,event_hat_lasso,4,8,base,0.7180157707952041,0.4874596395409311
VII,B,GOVERNMENT,event_hat_lasso,4,8,public security,2.3807069496597895,0.7663003238190544
VII,B,GOVERNMENT,event_hat_lasso,5,-8,base,-0.048168295895088725,0.735649545225415
VII,B,GOVERNMENT,event_hat_lasso,5,-8,public security,0.7964026511433142,0.7882097414947453
VII,B,GOVERNMENT,event_hat_lasso,5,-7,base,-0.24705080237837757,0.5337906932113288
VII,B,GOVERNMENT,event_hat_lasso,5,-7,public security,0.545397753208966,0.4468045563338765
VII,B,GOVERNMENT,event_hat_lasso,5,-6,base,-0.17764676692004344,0.43803882650364745
VII,B,GOVERNMENT,event_hat_lasso,5,-6,public security,0.5384183064817121,0.4039953018575575
VII,B,GOVERNMENT,event_hat_lasso,5,-5,base,-0.44765727083485074,0.3443937026032244
VII,B,GOVERNMENT,event_hat_lasso,5,-5,public security,0.6439899687649386,0.3980636482293022
VII,B,GOVERNMENT,event_hat_lasso,5,-4,base,-0.5068284555844924,0.3184793959643494
VII,B,GOVERNMENT,event_hat_lasso,5,-4,public security,0.48846120293924217,0.3763537671537689
VII,B,GOVERNMENT,event_hat_lasso,5,-3,base,-0.3941317543858969,0.2059826429786539
VII,B,GOVERNMENT,event_hat_lasso,5,-3,public security,0.4340276015894655,0.2359313174298241
VII,B,GOVERNMENT,event_hat_lasso,5,-2,base,-0.3092197375576582,0.1867082724830147
VII,B,GOVERNMENT,event_hat_lasso,5,-2,public security,0.16690236551857823,0.2768101532315736
VII,B,GOVERNMENT,event_hat_lasso,5,0,base,-0.04484970075307938,0.14306129274275184
VII,B,GOVERNMENT,event_hat_lasso,5,0,public security,0.32135260429708157,0.21948163678201177
VII,B,GOVERNMENT,event_hat_lasso,5,1,base,0.07345058774195547,0.1913596205579731
