table,panel,outcome,unrest,column,term,coef,se,N,clusters,omitted,estimator
VII,C,BUSINESS,event_hat_lasso,4,8 quarters before contract,0.590793322876475,0.6557616005362953,14146,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event_hat_lasso,4,8 quarters before contract x public security,-0.014457858408051525,0.29387164289732426,14146,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event_hat_lasso,4,8 quarters after contract,0.5152069937893682,0.5214095473206445,14146,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event_hat_lasso,4,8 quarters after contract x public security,3.2205001559607935,1.0406692392315218,14146,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event_hat_lasso,5,8 quarters before contract,0.1372303778073986,0.43415926798821647,9347,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event_hat_lasso,5,8 quarters before contract x public security,0.05132593164601666,0.3660357658553069,9347,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event_hat_lasso,5,8 quarters after contract,1.175608476639477,0.41157241064371686,9347,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event_hat_lasso,5,8 quarters after contract x public security,1.5641291688118417,0.6249351108707499,9347,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event_hat_lasso,6,8 quarters before contract,-0.34504411953615477,0.22610499191301067,14146,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event_hat_lasso,6,8 quarters before contract x public security,-0.1339388791106809,0.3549925934960374,14146,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event_hat_lasso,6,8 quarters after contract,1.8139554433238074,0.45341990937344423,14146,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event_hat_lasso,6,8 quarters after contract x public security,2.823018177872182,0.8233151275372101,14146,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
