exhibit,row,col,file,y,cond,kernel,bwselect,masspts,version,N,h_l,h_r,b_l,b_r,tau_cl,se_cl,tau_bc,se_rb,N_h_l,N_h_r,bw_source
T3,resid1_lnl,3,T3_Channels/channels_QJE_final.dta,resid1_lnl,neg_ind0==1,uni,mserd,off,statspai_matched,5473,5.810151327160987,5.810151327160987,9.196748170929927,9.196748170929927,-0.09097128752414824,0.15525627095628802,-0.08295504624806874,0.20110042963992253,943,714,rdrobust_py_masspoints_off
T3,resid1_lnl,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnl,neg_ind0==1,tri,mserd,off,statspai_native,2259,5.366898043460589,5.366898043460589,9.516155351143295,9.516155351143295,-0.29281578003075653,0.2556925374741249,-0.3528240293942999,0.2922681335295812,396,205,
T3,resid1_lnl,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnl,neg_ind0==1,tri,mserd,off,statspai_matched,2259,7.796703605168481,7.796703605168481,10.784058896144579,10.784058896144579,-0.007220167809475632,0.1938823533351305,-0.07371014105402529,0.24538203859018215,646,461,rdrobust_py_masspoints_off
T3,resid1_lnl,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnl,neg_ind0==1,epa,mserd,off,statspai_native,2259,6.600037114447062,6.600037114447062,10.233931075788357,10.233931075788357,-0.01842094725374236,0.2006183225974895,-0.07220487348390116,0.24561400824926796,514,365,
T3,resid1_lnl,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnl,neg_ind0==1,epa,mserd,off,statspai_matched,2259,7.756109807580835,7.756109807580835,10.982092864381647,10.982092864381647,0.03987669644380609,0.1925256358340576,0.012143473063821408,0.24280108140035508,644,456,rdrobust_py_masspoints_off
T3,resid1_lnl,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnl,neg_ind0==1,uni,mserd,off,statspai_native,2259,6.8818314452563705,6.8818314452563705,10.636232347035989,10.636232347035989,0.046370257806407834,0.1943633472037823,0.061988257404018476,0.24171345956906304,536,380,
T3,resid1_lnl,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnl,neg_ind0==1,uni,mserd,off,statspai_matched,2259,6.318770868603906,6.318770868603906,9.88572375741317,9.88572375741317,0.08526673099816884,0.20190708115674225,0.05313838851102182,0.2475557037585362,482,327,rdrobust_py_masspoints_off
T3,resid1_lnk,1,T3_Channels/channels_QJE_final.dta,resid1_lnk,neg_ind0==1,tri,mserd,off,statspai_native,5380,5.6237513944549775,5.6237513944549775,9.396967582043727,9.396967582043727,-0.45318981652070955,0.276104602727778,-0.5010290357896068,0.3259436428054092,886,423,
T3,resid1_lnk,1,T3_Channels/channels_QJE_final.dta,resid1_lnk,neg_ind0==1,tri,mserd,off,statspai_matched,5380,6.929342722681626,6.929342722681626,9.91205799905004,9.91205799905004,-0.3992804567224463,0.22116463213640164,-0.4787452420385504,0.2831500283047961,1088,986,rdrobust_py_masspoints_off
T3,resid1_lnk,2,T3_Channels/channels_QJE_final.dta,resid1_lnk,neg_ind0==1,epa,mserd,off,statspai_native,5380,5.174597405092642,5.174597405092642,8.359522077518424,8.359522077518424,-0.45884556849573993,0.280058448848204,-0.5116242292987987,0.3435182309929544,807,401,
